year,France,Germany,Italy,Spain
1990,2.56,3.25,4.88,3.75
1991,3.13,3.25,4.88,3.75
1992,3.13,3.25,4.75,3.75
1993,3.13,3.25,4.75,3.75
1994,3.13,3.25,4.75,3.75
1995,3.13,3.13,4.75,3.25
1996,3.13,3.13,4.75,3.25
1997,3.13,2.5,4.75,3.25
1998,3.13,2,3.63,3.25
1999,3.13,2,3.63,3.25
2000,3.13,2,3.25,3.25
2001,3.13,2,3.25,3.25
2002,3.13,2,2.38,3.25
2003,3.13,1.5,2,3.25
2004,3.13,1,2,3.25
2005,3.13,1,2,3.25
2006,3.13,1,2,3.25
2007,3.13,1,2,3
2008,3.13,1,2,3
2009,3.13,1,2,3
2010,3.13,1,2,3
2011,3.13,1,2,2.56
2012,3.13,1,2,2.69
2013,3.13,1.13,2,2.56
2014,3.13,1.13,2,2.47
2015,3.13,1.13,1.63,2.47
2016,3,1.13,1.63,2.47
2017,3,1.13,1.63,2.47
2018,3,1.38,1.63,2.47
2019,3,1.38,3.13,2.47